rank,title,Revenues,Profits,Latitude,Longitude
227,Las Vegas Sands,12882,2806,36.1699412,-115.1398296
228,Stanley Black & Decker,12747,1226,41.6612104,-72.7795419
229,Booking Holdings,12681,2340.8,41.117744,-73.4081575
230,Lennar,12646,810.5,25.7616798,-80.1917902
231,L Brands,12632,983,39.9611755,-82.9987942
232,DTE Energy,12607,1134,42.331427,-83.0457538
233,Dominion Energy,12586,2999,37.5407246,-77.4360481
234,Reinsurance Group of America,12516,1822.2,38.6631083,-90.5770675
235,J.C. Penney,12506,-116,33.0198431,-96.6988856
236,Mastercard,12497,3915,41.0400135,-73.7144477
237,BlackRock,12491,4970,40.7127753,-74.0059728
238,Henry Schein,12462,406.3,40.7934322,-73.4151214
239,Guardian Life Ins. Co. of America,12455,455.3,40.7127753,-74.0059728
240,Stryker,12444,1020,42.2917069,-85.5872286
241,Jefferies Financial Group,12408,171.7,40.7127753,-74.0059728
242,VF,12400,614.9,36.0726354,-79.7919754
243,ADP,12380,1733.4,40.8206555,-74.2937594
244,Edison International,12320,565,34.0805651,-118.072846
245,Biogen,12274,2539.1,42.3736158,-71.1097335
246,United States Steel,12250,387,40.4406248,-79.9958864
247,Core-Mark Holding,12225,33.5,37.654656,-122.4077498
248,Bed Bath & Beyond,12216,685.1,40.6975898,-74.2631635
249,Oneok,12174,387.8,36.1539816,-95.992775
250,BB& T Corp.,12156,2394,36.0998596,-80.244216
251,Becton Dickinson,12093,1100,41.0167639,-74.2057011
252,Ameriprise Financial,12075,1480,44.977753,-93.2650108
253,Farmers Insurance Exchange,12072,-65.4,34.165357,-118.6089752
254,First Data,12052,1465,40.7127753,-74.0059728
255,Consolidated Edison,12033,1525,40.7127753,-74.0059728
256,Parker-Hannifin,12029,983.4,41.49932,-81.6943605
257,Anadarko Petroleum,11908,-456,30.1658207,-95.4612625
258,Estee Lauder,11824,1249,40.7127753,-74.0059728
259,State Street Corp.,11774,2177,42.3600825,-71.0588801
260,Tesla,11759,-1961.4,37.4418834,-122.1430195
261,Netflix,11693,558.9,37.2358078,-121.9623751
262,Alcoa,11652,217,40.4406248,-79.9958864
263,Discover Financial Services,11545,2099,42.1675254,-87.897014
264,Praxair,11437,1247,41.394817,-73.4540111
265,CSX,11408,5471,30.3321838,-81.655651
266,Xcel Energy,11404,1148,44.977753,-93.2650108
267,Unum Group,11287,994.2,35.0456297,-85.3096801
268,Universal Health Services,11279,752.3,40.1012856,-75.3835525
269,NRG Energy,11275,-2153,40.3572976,-74.6672226
270,EOG Resources,11208,2582.6,29.7604267,-95.3698028
271,Sempra Energy,11207,256,32.715738,-117.1610838
272,Toys 'R'ù Us,11146,-612,40.9253725,-74.2765441
273,Group 1 Automotive,11124,213.4,29.7604267,-95.3698028
274,Entergy,11075,411.6,29.9510658,-90.0715323
275,Molson Coors Brewing,11003,1414.2,39.7392358,-104.990251
276,L3 Technologies,11002,677,40.7127753,-74.0059728
277,Ball,10983,374,39.9205411,-105.0866504
278,AutoZone,10889,1280.9,35.1495343,-90.0489801
279,Murphy USA,10853,245.3,33.20763,-92.6662674
280,MGM Resorts International,10774,1960.3,36.1699412,-115.1398296
281,Office Depot,10752,181,26.3683064,-80.1289321
282,Huntsman,10592,636,30.1658207,-95.4612625
283,Baxter International,10561,717,42.1711365,-87.8445119
284,Norfolk Southern,10551,5404,36.8507689,-76.2858726
285,salesforce.com,10480,127.5,37.7749295,-122.4194155
286,Laboratory Corp. of America,10441,1268.2,36.0956918,-79.4377991
287,W.W. Grainger,10425,585.7,42.2586342,-87.840625
288,Qurate Retail,10404,2441,39.6477653,-104.9877597
289,Autoliv,10383,427.1,42.6875323,-83.2341028
290,Live Nation Entertainment,10337,-6,34.0736204,-118.4003563
291,Xerox,10265,195,41.117744,-73.4081575
292,Leidos Holdings,10170,366,38.9586307,-77.3570028
293,Corning,10116,-497,42.1428521,-77.0546903
294,Lithia Motors,10087,245.2,42.3265152,-122.8755949
295,Expedia Group,10060,378,47.6101497,-122.2015159
296,Republic Services,10042,1278.4,33.4483771,-112.0740373
297,Jacobs Engineering Group,10023,293.7,32.7766642,-96.7969879
298,Sonic Automotive,9867,93,35.2270869,-80.8431267
299,Ally Financial,9866,929,42.331427,-83.0457538
300,LKQ,9848,533.7,41.8781136,-87.6297982
301,BorgWarner,9799,439.9,42.6875323,-83.2341028
302,Fidelity National Financial,9769,771,30.3321838,-81.655651
303,SunTrust Banks,9741,2273,33.7489954,-84.3879824
304,IQVIA Holdings,9739,1309,35.980513,-78.90511
305,Reliance Steel & Aluminum,9721,613.4,34.0522342,-118.2436849
306,Nvidia,9714,3047,37.3541079,-121.9552356
307,Voya Financial,9660,-2992,40.7127753,-74.0059728
308,CenterPoint Energy,9614,1792,29.7604267,-95.3698028
309,eBay,9567,-1016,37.3382082,-121.8863286
310,Eastman Chemical,9549,1384,36.548434,-82.5618186
311,American Family Insurance Group,9545,155.6,43.0730517,-89.4012302
312,Steel Dynamics,9539,812.7,41.079273,-85.1393513
313,Pacific Life,9510,1365,33.6188829,-117.9298493
314,Chesapeake Energy,9496,949,35.4675602,-97.5164276
315,Mohawk Industries,9491,971.6,34.502587,-84.9510542
316,Quanta Services,9467,315,29.7604267,-95.3698028
317,Advance Auto Parts,9374,475.5,37.2709704,-79.9414266
318,Owens & Minor,9318,72.8,37.6087561,-77.3733139
319,United Natural Foods,9275,130.2,41.8239891,-71.4128343
320,Tenneco,9274,207,42.2586342,-87.840625
321,Conagra Brands,9235,639.3,41.8781136,-87.6297982
322,GameStop,9225,34.7,32.9342919,-97.0780654
323,Hormel Foods,9168,846.7,43.6666296,-92.9746367
324,Hilton Worldwide Holdings,9140,1259,38.9338676,-77.1772604
325,Frontier Communications,9128,-1804,41.117744,-73.4081575
326,Fidelity National Information Services,9123,1319,30.3321838,-81.655651
327,Public Service Enterprise Group,9084,1574,40.735657,-74.1723667
328,Boston Scientific,9048,104,42.3459271,-71.5522874
329,OReilly Automotive,8978,1133.8,37.2089572,-93.2922989
330,Charles Schwab,8960,2354,37.7749295,-122.4194155
331,Global Partners,8921,58.8,42.3764852,-71.2356113
332,PVH,8915,537.8,40.7127753,-74.0059728
333,Avis Budget Group,8848,361,40.8652865,-74.4173877
334,Targa Resources,8815,54,29.7604267,-95.3698028
335,Hertz Global Holdings,8803,327,26.438136,-81.8067523
336,Calpine,8752,-339,29.7604267,-95.3698028
337,Mutual of Omaha Insurance,8732,862.6,41.2565369,-95.9345034
338,Crown Holdings,8698,323,39.9525839,-75.1652215
339,Peter Kiewit Sons,8678,371,41.2565369,-95.9345034
340,Dicks Sporting Goods,8591,323.4,40.5184013,-80.1667247
341,PulteGroup,8573,447.2,33.7489954,-84.3879824
342,Navistar International,8570,30,41.801141,-88.0747875
343,Thrivent Financial for Lutherans,8528,558.4,44.977753,-93.2650108
344,DCP Midstream,8462,229,39.7392358,-104.990251
345,Air Products & Chemicals,8442,3000.4,40.6022939,-75.4714098
346,Veritiv,8365,-13.3,33.7489954,-84.3879824
347,AGCO,8307,186.4,34.0028786,-84.1446376
348,Genworth Financial,8295,817,37.5407246,-77.4360481
349,Univar,8254,119.8,41.8089191,-88.0111746
350,News Corp.,8139,-738,40.7127753,-74.0059728
351,SpartanNash,8128,-52.8,42.8122508,-85.7228061
352,Westlake Chemical,8041,1304,29.7604267,-95.3698028
353,Williams,8031,2174,36.1539816,-95.992775
354,Lam Research,8014,1697.8,37.5482697,-121.9885719
355,Alaska Air Group,7933,1034,47.6062095,-122.3320708
356,Jones Lang LaSalle,7932,254.2,41.8781136,-87.6297982
357,Anixter International,7927,109,42.0697509,-87.7878408
358,Campbell Soup,7890,887,39.9259463,-75.1196199
359,Interpublic Group,7882,579,40.7127753,-74.0059728
360,Dover,7830,811.7,41.8089191,-88.0111746
361,Zimmer Biomet Holdings,7824,1813.8,41.2381,-85.8530469
362,Dean Foods,7795,61.6,32.7766642,-96.7969879
363,Foot Locker,7782,284,40.7127753,-74.0059728
364,Eversource Energy,7752,988,42.1014831,-72.589811
365,Alliance Data Systems,7719,788.7,33.0198431,-96.6988856
366,Fifth Third Bancorp,7713,2194,39.1031182,-84.5120196
367,Quest Diagnostics,7709,772,40.7895453,-74.0565298
368,EMCOR Group,7688,227.2,41.117744,-73.4081575
369,W.R. Berkley,7685,549.1,41.0262417,-73.6281964
370,WESCO International,7679,163.5,40.4406248,-79.9958864
371,Coty,7650,-422.2,40.7127753,-74.0059728
372,WEC Energy Group,7649,1203.7,43.0389025,-87.9064736
373,Masco,7644,533,42.36837,-83.3527097
374,DXC Technology,7607,-123,38.9187222,-77.2310925
375,Auto-Owners Insurance,7604,645.7,42.732535,-84.5555347
376,Jones Financial (Edward Jones),7597,872,38.59722,-90.448126
377,Liberty Media,7594,1354,39.6477653,-104.9877597
378,Erie Insurance Group,7535,857.5,42.1292241,-80.085059
379,Hershey,7515,783,40.2859239,-76.6502468
380,PPL,7447,1128,40.6022939,-75.4714098
381,Huntington Ingalls Industries,7441,479,37.0870821,-76.4730122
382,Mosaic,7409,-107.2,45.0105194,-93.4555093
383,J.M. Smucker,7392,592.3,40.8436663,-81.7640212
384,Delek US Holdings,7350,288.8,36.0331164,-86.7827772
385,Newmont Mining,7348,-98,39.6172101,-104.9508141
386,Constellation Brands,7332,1535.1,42.9825633,-77.4088794
387,Ryder System,7330,790.6,25.7616798,-80.1917902
388,National Oilwell Varco,7304,-237,29.7604267,-95.3698028
389,Adobe Systems,7302,1694,37.3382082,-121.8863286
390,LifePoint Health,7263,102.4,36.0331164,-86.7827772
391,Tractor Supply,7256,422.6,36.0331164,-86.7827772
392,Thor Industries,7247,374.3,41.6819935,-85.9766671
393,Dana,7209,111,41.5628294,-83.6538244
394,Weyerhaeuser,7196,582,47.6062095,-122.3320708
395,J.B. Hunt Transport Services,7190,686.3,36.2553543,-94.1307587
396,Darden Restaurants,7170,479.1,28.5383355,-81.3792365
397,Yum China Holdings,7144,403,33.0198431,-96.6988856
398,Blackstone Group,7119,1470.8,40.7127753,-74.0059728
399,Berry Global Group,7095,340,37.9715592,-87.5710898
400,Builders FirstSource,7034,38.8,32.7766642,-96.7969879
401,Activision Blizzard,7017,273,34.0194543,-118.4911912
402,JetBlue Airways,7015,1147,40.744679,-73.9485424
403,Amphenol,7011,650.5,41.4570108,-72.8230736
404,A-Mark Precious Metals,6990,7.1,33.9191799,-118.4164652
405,Spirit AeroSystems Holdings,6983,354.9,37.6871761,-97.330053
406,R.R. Donnelley & Sons,6940,-34.4,41.8781136,-87.6297982
407,Harris,6939,553,28.0836269,-80.6081089
408,Expeditors Intl. of Washington,6921,489.3,47.6062095,-122.3320708
409,Discovery,6873,-337,38.9906657,-77.026088
410,Owens-Illinois,6869,180,41.556996,-83.627157
411,Sanmina,6869,138.8,37.3382082,-121.8863286
412,KeyCorp,6868,1296,41.49932,-81.6943605
413,American Financial Group,6865,475,39.1031182,-84.5120196
414,Oshkosh,6830,285.6,44.0247062,-88.5426136
415,Rockwell Collins,6822,705,41.9778795,-91.6656232
416,Kindred Healthcare,6768,-698.4,38.2526647,-85.7584557
417,Insight Enterprises,6704,90.7,33.4255104,-111.9400054
418,Dr Pepper Snapple Group,6690,1076,33.0198431,-96.6988856
419,American Tower,6664,1238.9,42.3600825,-71.0588801
420,Fortive,6656,1044.5,47.9789848,-122.2020795
421,Ralph Lauren,6653,-99.3,40.7127753,-74.0059728
422,HRG Group,6650,106,40.7127753,-74.0059728
423,Ascena Retail Group,6650,-1067.3,41.0886216,-74.1435843
424,United Rentals,6641,1346,41.0534302,-73.5387341
425,Caseys General Stores,6641,177.5,41.7317884,-93.6001278
426,Graybar Electric,6631,71.6,38.6270025,-90.1994042
427,Avery Dennison,6614,281.8,34.1425078,-118.255075
428,MasTec,6607,347.2,25.72149,-80.2683838
429,CMS Energy,6583,460,42.245869,-84.4013462
430,HD Supply Holdings,6534,970,33.7489954,-84.3879824
431,Raymond James Financial,6525,636.2,27.7676008,-82.6402915
432,NCR,6516,232,33.7489954,-84.3879824
433,Hanesbrands,6478,61.9,36.0998596,-80.244216
434,Asbury Automotive Group,6457,139.1,34.0028786,-84.1446376
435,Citizens Financial Group,6454,1652,41.8239891,-71.4128343
436,Packaging Corp. of America,6445,668.6,42.2586342,-87.840625
437,Alleghany,6425,90.1,40.7127753,-74.0059728
438,Apache,6423,1304,29.7604267,-95.3698028
439,Dillards,6423,221.3,34.7464809,-92.2895948
440,Assurant,6415,519.6,40.7127753,-74.0059728
441,Franklin Resources,6392,1696.7,37.5629917,-122.3255254
442,Owens Corning,6384,289,41.6528052,-83.5378674
443,Motorola Solutions,6380,-155,41.8781136,-87.6297982
444,NVR,6322,537.5,38.9586307,-77.3570028
445,Rockwell Automation,6311,825.7,43.0389025,-87.9064736
446,TreeHouse Foods,6307,-286.2,41.8397865,-87.9535534
447,Wynn Resorts,6306,747.2,36.1699412,-115.1398296
448,Olin,6268,549.5,38.6425518,-90.3237263
449,American Axle & Manufacturing,6266,337.1,42.331427,-83.0457538
450,Old Republic International,6263,560.5,41.8781136,-87.6297982
451,Chemours,6183,746,39.7390721,-75.5397878
452,iHeartMedia,6178,-704.4,29.4241219,-98.4936282
453,Ameren,6177,523,38.6270025,-90.1994042
454,Arthur J. Gallagher,6160,463.1,42.0841936,-88.0131275
455,Celanese,6140,843,32.8140177,-96.9488945
456,Sealed Air,6131,814.9,35.2270869,-80.8431267
457,UGI,6121,436.6,40.1012856,-75.3835525
458,Realogy Holdings,6114,431,40.7598227,-74.417097
459,Burlington Stores,6110,384.9,40.071222,-74.8648873
460,Regions Financial,6093,1263,33.5206608,-86.80249
461,AK Steel Holding,6081,6.2,39.3321262,-84.4172666
462,Securian Financial Group,6067,418.9,44.9537029,-93.0899578
463,S& P Global,6063,1496,40.7127753,-74.0059728
464,Markel,6062,395.3,37.665978,-77.5063739
465,TravelCenters of America,6052,9.3,41.4553232,-81.9179173
466,Conduent,6022,181,40.787878,-74.3882072
467,M& T Bank Corp.,6019,1408.3,42.8864468,-78.8783689
468,Clorox,5973,701,37.8043637,-122.2711137
469,AmTrust Financial Services,5959,-348.9,40.7127753,-74.0059728
470,KKR,5930,1018.3,40.7127753,-74.0059728
471,Ulta Beauty,5885,555.2,41.6986416,-88.0683955
472,Yum Brands,5878,1340,38.2526647,-85.7584557
473,Regeneron Pharmaceuticals,5872,1198.5,41.0762077,-73.8587461
474,Windstream Holdings,5853,-2116.6,34.7464809,-92.2895948
475,Magellan Health,5838,110.2,33.4941704,-111.9260519
476,Western & Southern Financial,5836,310.4,39.1031182,-84.5120196
477,Intercontinental Exchange,5834,2514,33.7489954,-84.3879824
478,Ingredion,5832,519,41.8498339,-87.8806738
479,Wyndham Destinations,5821,871,40.8652865,-74.4173877
480,Toll Brothers,5815,535.5,40.1784422,-75.1285061
481,Seaboard,5809,247,39.0236165,-94.6935701
